row_id,fold,y_true_id,y_pred_id_v2,y_pred_id_norberto,pred_bert512,pred_soft256,pred_svc_word_char,pred_baseline,pred_ordinal256_corrected,prob_c1,prob_c234,prob_c5,vote_pattern,tie_leader_a,tie_leader_b,v3_targeted_tie,v3_changed_prediction,y_pred_id_v3,y_pred_v3,correct_v2,correct_v3
0,3,2,0,0,0,0,0,0,0,0.7691810504959506,0.1835767610962011,0.0472421884078482,5-0-0,-1,-1,False,False,0,c1,False,False
1,3,0,1,1,1,1,2,0,1,0.2855475095849612,0.5772444568367272,0.1372080335783115,3-1-1,-1,-1,False,False,1,c234,False,False
2,4,0,0,0,0,0,0,0,0,0.5147602031908347,0.1930104120904031,0.2922293847187621,5-0-0,-1,-1,False,False,0,c1,True,True
3,4,1,0,0,0,0,0,0,0,0.5439321075613506,0.3492224816784399,0.1068454107602094,5-0-0,-1,-1,False,False,0,c1,False,False
4,0,1,2,2,2,2,1,2,2,0.0983005330071222,0.4402298722902459,0.4614695947026318,4-1-0,-1,-1,False,False,2,c5,False,False
5,1,0,1,1,1,0,0,1,1,0.3184491628141925,0.5632791593973049,0.1182716777885024,3-2-0,-1,-1,False,False,1,c234,False,False
6,0,1,2,2,2,2,2,2,2,0.0618202315116942,0.3327315971391652,0.6054481713491404,5-0-0,-1,-1,False,False,2,c5,False,False
7,3,1,0,1,0,0,0,0,0,0.4033186904709408,0.4128831175884171,0.1837981919406421,5-0-0,-1,-1,False,False,0,c1,False,False
8,2,0,2,1,2,2,1,2,2,0.3139230096550733,0.3974418533718191,0.2886351369731075,4-1-0,-1,-1,False,False,2,c5,False,False
9,4,1,1,1,1,1,0,1,1,0.2239883727658038,0.4349492671816302,0.3410623600525659,4-1-0,-1,-1,False,False,1,c234,True,True
10,4,1,1,1,1,1,1,1,2,0.1879640880785311,0.441857420440507,0.3701784914809616,4-1-0,-1,-1,False,False,1,c234,True,True
11,3,1,1,1,1,1,1,1,1,0.3258820288505911,0.3960750844815058,0.2780428866679031,5-0-0,-1,-1,False,False,1,c234,True,True
12,4,0,2,2,2,2,2,2,2,0.1730738247661362,0.3669120027640647,0.4600141724697989,5-0-0,-1,-1,False,False,2,c5,False,False
13,4,1,1,1,1,1,0,0,1,0.3790463250486525,0.3943383150694963,0.2266153598818511,3-2-0,-1,-1,False,False,1,c234,True,True
14,2,1,0,2,0,0,0,0,0,0.3460803563336716,0.2797175563758002,0.3742020872905281,5-0-0,-1,-1,False,False,0,c1,False,False
15,1,2,1,2,1,2,2,0,1,0.1715054067536955,0.3912880125969127,0.4372065806493916,2-2-1,1,2,True,True,2,c5,False,True
16,1,1,0,0,0,0,0,0,0,0.6961091242061098,0.2630546760894273,0.0408361997044628,5-0-0,-1,-1,False,False,0,c1,False,False
17,4,0,0,0,0,0,0,0,0,0.7152870084169496,0.2157666596575768,0.0689463319254736,5-0-0,-1,-1,False,False,0,c1,True,True
18,2,0,0,1,0,0,0,0,1,0.3808079272139568,0.4010856529098274,0.2181064198762158,4-1-0,-1,-1,False,False,0,c1,True,True
19,3,0,0,0,0,0,0,0,0,0.8707256714285296,0.1099998841727167,0.0192744443987536,5-0-0,-1,-1,False,False,0,c1,True,True
20,3,0,2,2,2,2,2,2,2,0.0311391226817111,0.3191347508830978,0.649726126435191,5-0-0,-1,-1,False,False,2,c5,False,False
21,0,0,1,0,0,0,1,1,1,0.4136598728679278,0.2905934398998985,0.2957466872321737,3-2-0,-1,-1,False,False,1,c234,False,False
22,2,1,2,1,2,2,2,1,1,0.1769839722899557,0.4597905641607736,0.3632254635492707,3-2-0,-1,-1,False,False,2,c5,False,False
23,4,2,2,2,2,2,2,2,2,0.0761345511464326,0.1672244465818169,0.7566410022717505,5-0-0,-1,-1,False,False,2,c5,True,True
24,3,1,1,1,1,1,0,1,1,0.3850039524292324,0.4118406129737556,0.203155434597012,4-1-0,-1,-1,False,False,1,c234,True,True
25,1,0,1,1,1,1,1,1,0,0.38090819976059,0.472570989615559,0.1465208106238509,4-1-0,-1,-1,False,False,1,c234,False,False
26,1,2,2,2,2,2,2,2,2,0.1399428368801337,0.1465872405685973,0.7134699225512691,5-0-0,-1,-1,False,False,2,c5,True,True
27,0,0,0,0,0,1,2,0,1,0.5363219824699135,0.2511236963238088,0.2125543212062776,2-2-1,0,1,True,False,0,c1,True,True
28,2,0,1,1,2,1,2,1,1,0.3226667354526127,0.3934138846422462,0.2839193799051411,3-2-0,-1,-1,False,False,1,c234,False,False
29,1,0,0,0,0,0,0,2,1,0.6386006509494768,0.1226551741195023,0.2387441749310209,3-1-1,-1,-1,False,False,0,c1,True,True
30,4,0,0,0,0,0,2,0,1,0.3878777401928786,0.2671787661692972,0.3449434936378242,3-1-1,-1,-1,False,False,0,c1,True,True
31,1,2,1,1,2,2,1,1,1,0.1721125289812675,0.4395047396071146,0.3883827314116178,3-2-0,-1,-1,False,False,1,c234,False,False
32,1,2,1,1,1,1,2,1,1,0.1184277930482898,0.4706836658541118,0.4108885410975982,4-1-0,-1,-1,False,False,1,c234,False,False
33,0,0,1,1,1,1,0,0,2,0.2470790502456962,0.3910896597537282,0.3618312900005757,2-2-1,0,1,True,False,1,c234,False,False
34,3,2,2,2,2,2,2,2,2,0.0620373492500087,0.3596246431828304,0.5783380075671608,5-0-0,-1,-1,False,False,2,c5,True,True
35,3,2,2,2,2,2,2,2,2,0.1236656300996126,0.3853130039801017,0.4910213659202855,5-0-0,-1,-1,False,False,2,c5,True,True
36,3,2,0,0,0,0,0,0,1,0.4986277805061234,0.2420643588733979,0.2593078606204787,4-1-0,-1,-1,False,False,0,c1,False,False
37,0,2,2,2,2,2,1,2,2,0.0771357181809257,0.3650187668690652,0.5578455149500091,4-1-0,-1,-1,False,False,2,c5,True,True
38,1,2,2,1,2,2,0,2,1,0.2311676835438002,0.5265706641452687,0.2422616523109311,3-1-1,-1,-1,False,False,2,c5,True,True
39,3,2,2,2,2,2,2,2,1,0.2440101845325846,0.1743436451564922,0.5816461703109231,4-1-0,-1,-1,False,False,2,c5,True,True
40,0,1,1,2,2,2,1,1,1,0.1166651842995425,0.2991905378203347,0.5841442778801227,3-2-0,-1,-1,False,False,1,c234,True,True
41,3,2,2,2,2,2,0,0,1,0.1251364626158239,0.1231362617755433,0.7517272756086327,2-2-1,0,2,False,False,2,c5,True,True
42,1,1,2,1,1,2,2,2,1,0.1679852420442793,0.4328578286103306,0.39915692934539,3-2-0,-1,-1,False,False,2,c5,False,False
43,4,2,2,2,2,2,2,2,2,0.004388041396619,0.1593992838077018,0.8362126747956792,5-0-0,-1,-1,False,False,2,c5,True,True
44,4,1,1,1,1,1,1,2,1,0.2462548892030012,0.5317335537751893,0.2220115570218096,4-1-0,-1,-1,False,False,1,c234,True,True
45,0,2,2,2,2,2,2,2,1,0.3382502418160384,0.2380323496711205,0.423717408512841,4-1-0,-1,-1,False,False,2,c5,True,True
46,4,0,0,0,0,0,1,1,0,0.5960340887464142,0.2402616470077051,0.1637042642458807,3-2-0,-1,-1,False,False,0,c1,True,True
47,2,2,2,2,2,2,2,2,1,0.13110614913661,0.3189340509635123,0.5499597998998776,4-1-0,-1,-1,False,False,2,c5,True,True
48,0,2,0,0,2,0,0,0,0,0.4191041509300813,0.2960668518253789,0.2848289972445397,4-1-0,-1,-1,False,False,0,c1,False,False
49,2,1,1,1,1,1,1,1,1,0.3319099313612866,0.5468930648678109,0.1211970037709023,5-0-0,-1,-1,False,False,1,c234,True,True
50,4,1,2,2,2,2,1,2,1,0.1998889250351848,0.3813653849555002,0.4187456900093149,3-2-0,-1,-1,False,False,2,c5,False,False
51,0,1,2,2,2,2,0,0,2,0.2837940243973025,0.2764089636393075,0.4397970119633899,3-2-0,-1,-1,False,False,2,c5,False,False
