row_id,fold,y_true_id,y_pred_id,y_true,y_pred,prob_c1,prob_c234,prob_c5,correct,resp_text,duplicate_group_size,duplicate_num_labels,is_duplicate,is_conflicting_duplicate,experiment_id,threshold_1,threshold_2
5,1,0,0,c1,c1,0.45211256,0.30298305,0.24490438,True," Prezado, para ter acesso às informações solicitadas, basta seguir as instruções abaixo: Informamos que nas resoluções homologatórias serão encontrados os valores das tarifas (por classe) por área de concessão, ou seja, a área de cobertura de cada distribuidora e o índice de reajuste (geralmente no art. 2º), basta acessar o link ""http://biblioteca.aneel.gov.br/"". No lado superior esquerdo existem três abas: ""BUSCA RÁPIDA"", ""BUSCA COMBINADA"" e ""LEGISLAÇÃO"". Escolher a aba ""LEGISLAÇÃO"", no campo ""TODOS OS CAMPOS"" preencher com o nome da distribuidora de energia, no campo ""NORMA"" escolher a opção ""RESOLUÇÃO HOMOLOGATÓRIA"" e depois colocar o ano que pretende consultar. O retorno da pesquisa lhe mostrará a resolução que homologa o reajuste da distribuidora com todos os dados do processo, inclusive o valor da tarifa de energia. Para visualizar o documento basta clicar no link ao lado da opção ""TEXTO INTEGRAL"". Ao acessar o ato normativo, os valores das tarifas por classe (residencial, comercial e industrial)encontram-se nos anexos de cada resolução. ",1,1,False,False,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
15,1,2,0,c5,c1,0.3601514,0.3176426,0.322206,False," Prezada Senhora,   Em atenção ao requerimento formulado, cumpre-nos informar que a demanda foi encaminhada à Secretaria de Previdência do Ministério da Fazenda, que se pronunciou conforme abaixo: ""1- Em atendimento ao solicitado esclarecemos: -  O Brasil não possui acordo de previdência com a Holanda. -  As contribuições efetivadas para a previdência brasileira não podem ser resgatadas. Futuramente, se for celebrado acordo com a Holanda os períodos de contribuição nos dois países poderão ser totalizados para implementação de direito a benefício. - Enquanto não existir um acordo, havendo interesse em manter o vínculo com a previdência brasileira, existe a possibilidade de continuar contribuindo no Brasil, para  o RGPS - Regime Geral de Previdência Social,  na categoria de facultativo, desde que já esteja desvinculada do serviço público. Sugiro procurar uma Agência do INSS para fazer a inscrição, fazendo o agendamento pelo 135.  As contribuições devem ser feitas no Brasil. Assim, caso não seja mantida uma conta num Banco no Brasil, é necessário deixar alguém, no Brasil, responsável para efetuar o pagamento das contribuições.""   Considerando o disposto no art. 19, inc. II, c/c o art. 21, caput, do Decreto n.º 7.724, de 2012, informa-se que poderá ser apresentado recurso, no prazo de 10 dias, contado da ciência da decisão.    Atenciosamente, Serviço de Informação ao Cidadão Ministério da Fazenda ",1,1,False,False,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
16,1,1,0,c234,c1,0.7640124,0.15957992,0.076407686,False," Prezado(a) Senhor(a),  Sua manifestação foi analisada e classificada como uma solicitação, definida pela Instrução Normativa da Ouvidoria-Geral da União nº 05/2018, como um requerimento de adoção de providência por parte da Administração.  Para dar o tratamento adequado à sua solicitação, oferecendo uma resposta mais completa e rápida, ela foi encaminhada ao e-OUV (Sistema de Ouvidorias do Poder Executivo Federal), responsável pelo registro e tratamento de manifestações de ouvidoria.  Caso não concorde com o encaminhamento do pedido, é possível apresentar pedido de revisão à Ouvidoria-Geral da União (OGU), em até 10 (dez) dias, clicando aqui. O pedido de revisão será julgado pela OGU em até 5 (cinco) dias.  Somente ao fim do prazo para apresentação do pedido de revisão, ou seja, após 10 dias, o andamento da sua solicitação poderá ser acompanhado por meio do e-Ouv, disponível em http://sistema.ouvidorias.gov.br/. Você pode fazer a consulta clicando em ""Consulte sua Manifestação"" e informando seu número de protocolo e endereço de e-mail.  Para consultar a manifestação no e-Ouv basta acessar este link. ",47,3,True,True,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
25,1,0,0,c1,c1,0.5240294,0.28037655,0.19559409,True," Prezado Senhor,   Cumprimentando-o cordialmente e em atendimento à demanda apresentada, cabe informar que os Institutos Federais e as Universidades Federais possuem autonomia para gestão do seu quadro de servidores, incluindo docentes e técnico-administrativos. Sendo assim, a realização de concurso público, o provimento, a troca de cargos e a movimentação de cargos e de pessoal são realizados pelas próprias instituições, conforme necessidade institucional e orçamento autorizado. Neste sentido, as informações referentes aos cargos vagos e à realização de concurso devem ser verificadas junto à cada instituição que, dada as suas autonomias, possuem seus próprios Serviços de Informações ao Cidadão.   Adicionalmente, informamos que o Portal da Transparência, mantido pelo Ministério da Transparência, Fiscalização e Controladoria-Geral da União, já disponibiliza à sociedade o cadastro geral dos servidores federais ativos, cujo download pode ser realizado a partir do endereço (http://www.portaltransparencia.gov.br/downloads/servidores.asp>>). De posse de tais arquivos, poderão ser selecionadas as informações de interesse. Esclarecimentos adicionais quantos aos dados publicados poderão ser obtidos por meio do endereço (http://www.portaltransparencia.gov.br/faleConosco/perguntas-tema-servidores.asp) ou diretamente com a Equipe do Portal (http://www.portaltransparencia.gov.br/faleConosco/FaleConosco.asp>>).   Por fim, registramos que depreende-se da inteligência do artigo 7º da Lei nº 12.527/2011, Lei de Acesso à Informação, que não está prevista em lei a produção de bases de dados ou de relatórios customizadas conforme o interesse de cada cidadão. Nessa mesma linha, o Decreto nº 7.724/2012 dispõe: ""Art. 13. Não serão atendidos pedidos de acesso à informação: (...) III - que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que não seja de competência do órgão ou entidade. ""   Atenciosamente,   Chefia de Gabinete Secretaria de Educação Superior Ministério da Educação ",1,1,False,False,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
26,1,2,2,c5,c5,0.16026604,0.2560559,0.58367807,True," Caro Hamilton,    Seu pedido foi atendido. Por isso estamos encaminhando as cópias dos processos solicitados.    Atenciosamente,    SCT/ANEEL ",1,1,False,False,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
29,1,0,0,c1,c1,0.3994602,0.31367183,0.28686798,True," Prezada, iremos responder através do NUP: 23480015689201692 ",1,1,False,False,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
31,1,2,2,c5,c5,0.23057306,0.29771703,0.4717099,True," Prezado(a) Senhor(a),    Com base nas informações fornecidas pela Gerência-Geral de Medicamentos e Produtos Biológicos - GGMED, área técnica afeta ao assunto questionado, informamos que o medicamento DEXASON foi registrado em um contexto regulatório distinto do atual, sendo que não houve a apresentação de estudos comparativos para comprovação de qualidade, segurança e eficácia, logo, não houve a utilização de medicamento de referência no momento de seu registro. Devido às particularidades inerentes ao momento do registro, o medicamento foi classificado como similar. (Será feita uma avaliação quanto à necessidade de alteração da classificação do referido medicamento).    Para maiores esclarecimentos, informamos que a Anvisa também disponibiliza a sua Central de Atendimento, por meio do 0800 642 9782 (dias úteis, das 7h30 às 19h30) e por meio eletrônico, no Fale Conosco: (http://portal.anvisa.gov.br/fale-conosco)  Atenciosamente,  Agência Nacional de Vigilância Sanitária ",1,1,False,False,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
32,1,2,2,c5,c5,0.23265862,0.29867232,0.46866906,True," Prezada, A resposta foi fornecida por dois setores, Pró-Reitoria de Ensino de Graduação - Proen e Pró-Reitoria de Gestão Estudantil - Proges, responsáveis pela politica macro. Abaixo link do sitio institucional, de ambas, para contato:  http://www.ufopa.edu.br/institucional/pro-reitorias/proen http://www.ufopa.edu.br/institucional/pro-reitorias/proges Quanto as regulamentações citadas nas respostas, links: http://www.ufopa.edu.br/arquivo/consun/resolucoes/resolucao-210-2017-consepe http://www.ufopa.edu.br/arquivo/consun/resolucoes/resolucao-no-177.17-consepe-institui-o-regimento-de-graduacao-1  Quaisquer outros esclarecimentos, estamos a disposição. ",1,1,False,False,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
38,1,2,2,c5,c5,0.25627315,0.3066243,0.43710256,True," Encaminhamos, na caixa Anexos, informação fornecida pela área responsável pelo assunto. ",35,3,True,True,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
42,1,1,2,c234,c5,0.25349122,0.30567846,0.44083032,False," Prezado Senhor, bom dia!   De ordem da Gestora do SIC/UFAM, Cynthia Tereza Corrêa da Silva, segue anexa planilha com as evasões ocorridas, no período de 2001 a 2016 do Curso de Psicologia, encaminhada pela Diretoria de Registro Acadêmico - DRA da UFAM. Esclarecemos que conforme informação do DRA só foi possível disponibilizar os dados referentes ao período de 2001 a 2016, pois os dados solicitados estão disponíveis SIE ( sistema ultizado pela instituição)  somente a partir do ano de 2001 , antes de 2001 o sistema não gera qualquer relatório para o curso solicitado.    Colocamo-nos à disposição para esclarecimento por meio dos telefones 92 3305-1491/ 993183138 e/ou do e-mail sic_ufam@ufam.edu.br.   Atenciosamente, Serviço de Informação ao Cidadão Universidade Federal do Amazonas Fone: (92) 3305-1491 E-mail: sic_ufam@ufam.edu.br Importante: Nos termos do art. 21 do Decreto n° 7.724/2012, V.Sa. poderá apresentar recurso de 1ª Instância  à autoridade hierarquicamente superior àquela que deu a resposta, no prazo de 10 (dez) dias contados da publicação da resposta. Nesse caso, deve-se clicar no botão correspondente (Recorrer em 1ª Instância), no sistema e-SIC, e apresentar as razões do recurso.   Art. 21.  No caso de negativa de acesso à informação ou de não fornecimento das razões da negativa do acesso, poderá o requerente apresentar recurso no prazo de dez dias, contado da ciência da decisão, à autoridade hierarquicamente superior à que adotou a decisão, que deverá apreciá-lo no prazo de cinco dias, contado da sua apresentação. ",1,1,False,False,ordinal_thresholds_v1,-0.5000872611999512,0.818228006362915
