row_id,fold,y_true_id,y_pred_id,y_true,y_pred,prob_c1,prob_c234,prob_c5,correct,original_token_count,head_tail_applied,resp_text,duplicate_group_size,duplicate_num_labels,is_duplicate,is_conflicting_duplicate,experiment_id
4,0,1,2,c234,c5,0.097318836,0.38650426,0.51617694,False,170,False," Senhor, O Serviço de Informações ao Cidadão do Ministério do Planejamento, Desenvolvimento e Gestão agradece o seu contato. Em atenção à sua solicitação, informamos, quanto aos questionamentos enviados, que existe os processo nº 03000.001294/2017-31 e que está em análise nesta Secretaria de Gestão de Pessoas - SGP, no entanto, sem prazo definido para manifestação conclusiva e que depende de uma análise conjuntural e não somente técnica. Para mais informações sobre concursos públicos consulte o endereço http://www.planejamento.gov.br/assuntos/concursos. Atenciosamente, Serviço de Informações ao Cidadão (SIC) Ministério do Planejamento, Desenvolvimento e Gestão (MP) www.planejamento.gov.br/acesso-a-informacao ",1,1,False,False,head_tail_256_v1
6,0,1,2,c234,c5,0.042501107,0.25117284,0.70632607,False,158,False," Prezado Sr.,  Informamos que a UFPE dispõe de 04 (quatro) códigos de vagas desocupadas para o cargo de Analista de Tecnologia, classe E.   Salientamos que os códigos disponíveis estão reservados para concurso público vigente.   Nos termos do art. 21 do Decreto n° 7.724, V.Sa. poderá apresentar recurso à autoridade hierarquicamente superior à que adotou a decisão, no prazo de 10 (dez) dias, contado da ciência da decisão. Nesse caso, deve-se clicar no botão correspondente, no sistema e-SIC, e apresentar as razões do recurso.  Att. Diretoria de Desenvolvimento de Pessoal  DDP Pró-Reitoria de Gestão de Pessoas e Qualidade de Vida  PROGEPE ",1,1,False,False,head_tail_256_v1
21,0,0,0,c1,c1,0.49247065,0.3590479,0.14848147,True,293,True," Prezada cidadã, Esclarecemos que a Lei n&deg, 12.527 de novembro de 2011 - Lei de Acesso à Informação (LAI) dispõe sobre o acesso às informações produzidas ou custodiadas pelos órgãos e entidades públicas, em especial aquelas contidas em registros ou documentos, produzidos ou acumulados por seus órgãos ou entidades, recolhidos ou não a arquivos públicos (art.7º, inc. II). A demanda apresentada por V.S.ª caracteriza-se como uma consulta, não se enquadrando no escopo da LAI. De acordo com a publicação ""Aplicação da Lei de Acesso à Informação em recursos à CGU"", consulta é a ""situação na qual o cidadão deseja receber do Poder Público um pronunciamento sobre uma condição hipotética ou concreta"". Ainda de acordo com a publicação, ""atualmente, consultas não são aceitas como pedidos de acesso à informação quando o órgão não tenha realizado a análise de um caso semelhante e sobre ele produzido um documento, por exemplo, um parecer"" (página 16, disponível em: goo.gl/Bx4VGh).   Atenciosamente, área responsável pela resposta: Diretoria de Transparência e Controle Social Autoridade a ser direcionado eventual recurso de 1ª instância: Secretária de Transparência e Prevenção da Corrupção. Prazo para interposição do recurso de 1ª instância: 10 dias. ",1,1,False,False,head_tail_256_v1
27,0,0,0,c1,c1,0.33468467,0.33437842,0.33093694,True,188,False," Em atenção à sua solicitação, participo que as informações requeridas estão disponíveis para toda a Sociedade no Portal da Transparência do Governo Federal, no seguinte link da internet: http://www.portaltransparencia.gov.br/viagens/consulta?situacao=1&beneficiario=19703014&ordenarPor=tipo&direcao=asc O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no ""caput"" do artigo 15 da Lei nº 12.527/2011.  Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria ",1,1,False,False,head_tail_256_v1
33,0,0,2,c1,c5,0.098222576,0.40901414,0.49276334,False,237,False," Prezado (a) Cidadão (ã),     1.Conforme solicitação através do E-SIC, site CGU, informamos que:     1.1. Não há previsão de autorização para um novo certame.    2. Por fim, agradecemos o contato e esclarecemos que a CAIXA, na página www.caixa.gov.br/acessoainformacao, disponibiliza as informações corporativas em atendimento à Lei 12.527/2011.     3. Informamos que a CAIXA mantém SAC para informações, reclamações, cancelamentos, sugestões, serviços e elogios, com atendimento 24 horas por dia 07 dias por semana, pelo DDG 0800 726 0101 e para reclamações não solucionadas no SAC ou denúncias, a CAIXA mantém canal de Ouvidoria com atendimento de segunda a sexta-feira, das 08 às 18 horas, pelo DDG 0800 725 7474.    4. A CAIXA coloca-se à disposição através de seus canais de atendimento.     Atenciosamente,    CAIXA - Serviço de Informações ao Cidadão ",1,1,False,False,head_tail_256_v1
37,0,2,2,c5,c5,0.103464365,0.38999414,0.5065415,True,252,False," Senhor Wellington,  O Serviço de Informações ao Cidadão do Ministério do Planejamento, Desenvolvimento e Gestão agradece o seu contato.  Em atenção a sua solicitação, informamos:  1-A convocação dos aprovados do concurso MP/ENAP 2015 já se encerraram?  R: Não. haverá uma nova nomeação para as vagas que não foram preenchidas com a primeira nomeação. Cumpre-nos salientar que o concurso foi prorrogado por mais um ano, a contar de 03.12.2016.   2-Se não, há previsão desta convocação?  R: Não temos uma data específica, mas estimamos que saia uma nomeação até a primeira quinzena de dezembro/16   3-Há a possibilidade de ser convocado um quantitativo maior que o número previsto no edital do concurso?  R: Não  Atenciosamente,  Responsável pela resposta: Coordenação Geral de Gestão de Pessoas - COGEP  Destinatário do recurso de primeira  instância: Diretoria de Administração - DIRAD  Ministério do Planejamento, Desenvolvimento e Gestão Serviço de Informações ao Cidadão (SIC) Ministério do Planejamento, Desenvolvimento e Gestão (MP) www.planejamento.gov.br/acesso-a-informacao ",1,1,False,False,head_tail_256_v1
40,0,1,2,c234,c5,0.13537781,0.2831349,0.58148724,False,162,False," Prezado Senhor Edilson,  Agradecemos seu contato com a ESCOLA SUPERIOR DE GUERRA pelo sistema e-SIC.  Em resposta à sua solicitação, não existe em nossos arquivos qualquer documentação relativa ao assunto.  No mais, V.Sª. poderá acompanhar publicações, artigos, informações e outras notícias da Escola Superior de Guerra no sítio eletrônico www.esg.br .  Por fim, cabe ressaltar que, nos termos do art. 21, do Decreto nº 7.724/2012, eventual recurso sobre esta resposta poderá ser dirigido ao Ministério da Defesa, no prazo de dez dias, a contar da data desta resposta.  Atenciosamente, Serviço de Informações ao Cidadão   ESCOLA SUPERIOR DE GUERRA ",1,1,False,False,head_tail_256_v1
45,0,2,1,c5,c234,0.33995268,0.34131446,0.3187329,False,124,False," Prezada senhora,  Segue, em anexo, cópia digitalizada do parecer nº 751/2014/PF-ANP/PGF/AGU. As informações tarjadas são informações relativas à atividade empresarial de agentes regulados de direito privado obtidas pela ANP no exercício da atividade de fiscalização e regulação da atividade econômica cuja divulgação representa vantagem competitiva a outros agentes econômicos, nos termos do §2º do art. 5º do Decreto n.º 7.724/12.  Atenciosamente,  Tiago Macedo Procuradoria Geral - PRG  Serviço de Informações ao Cidadão - SIC/ANP ",1,1,False,False,head_tail_256_v1
48,0,2,2,c5,c5,0.18795078,0.30882114,0.50322807,True,117,False," Sr. Solicitante, todas as informações solicitadas quanto a Auditoria Interna da UFMS podem ser consultadas neste link: https://www.ufms.br/universidade/auditoria-interna/ Quanto aos questionários, informamos que o e-sic pode ser utilizado para envio de questionários, desde que as informações solicitadas por ele não sejam objeto de sigilo, conforme art. 13 da Lei de Acesso a Informação e Súmula CMRI nº6 de 2015.  Atenciosamente, Ouvidoria UFMS. ",1,1,False,False,head_tail_256_v1
51,0,1,2,c234,c5,0.30842882,0.2817204,0.40985072,False,7,False, Segue parte da informação solicitada. ,1,1,False,False,head_tail_256_v1
61,0,2,2,c5,c5,0.2068094,0.38350445,0.40968615,True,234,False," Prezado Sr. Robert,  Encaminhamos abaixo resposta fornecida pela Ouvidoria do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS), e informamos que, de acordo com a Lei de Acesso à Informação (Lei n. 12.527/12) e o Decreto n. 7.724/12, há a possibilidade de recurso no prazo de 10 (dez) dias, nas formas e condições estabelecidas pelo artigo 15 e 17 da referida lei e decreto, respectivamente:  ""Em atenção ao protocolo n. 23480015498201621 , informamos que o Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul(IFMS) não possui regulamentação interna concernente a Lei de Acesso à Informação(LAI),  Como também, não possui regulamentação das sanções previstas por descumprimento da Lei de Acesso à Informação (LAI).""  ?Agradecemos o seu contato.  Atenciosamente,  Serviço de Informação ao Cidadão (SIC) Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul.?? ",1,1,False,False,head_tail_256_v1
67,0,0,1,c1,c234,0.3001448,0.41866,0.28119516,False,236,False," Prezada Senhora, Cumprimentando-a cordialmente informamos que a informação solicitada por Vossa Senhoria está disponível ao público no Portal CEBAS (http://cebas.mec.gov.br), no ícone ""Consulta CEBAS"". Neste serviço de consulta os interessados podem obter a lista de entidades de assistência social atuantes na área da Educação que possuem o CEBAS ou que se cadastraram no SisCEBAS em cumprimento à Portaria nº 920, de 20 de julho de 2010, publicada no DOU em 21/07/2010, Seção 1, pp. 69, que contempla as seguintes informações: nome da entidade, CNPJ, Município, UF, status quato à certificação, número da portaria e vigência de certificado, bem como a relação de processos relativos ao CEBAS, link de acesso aos respectivos atos no Diário Oficial da União. Tal ferramenta possibilita ao usuário a geração de relatórios no formato XLS. Atenciosamente, Assessoria da Secretaria de Regulação e Supervisão da Educação Superior do Ministério da Educação ",1,1,False,False,head_tail_256_v1
