row_id,fold,y_true_id,y_pred_id,y_true,y_pred,prob_c1,prob_c234,prob_c5,correct,resp_text,char_count,word_count,duplicate_group_size,duplicate_num_labels,is_duplicate,is_conflicting_duplicate,group_c1_count,group_c234_count,group_c5_count,model_name,max_length,learning_rate,epochs,effective_batch_size
2,4,0,0,c1,c1,0.6169589,0.26232335,0.120717704,True," Prezado Senhor Julio,  A Ouvidoria-Geral da Petrobras, por meio deste SIC, apresenta a resposta fornecida pela Gerência Executiva de Recursos Humanos:   Em virtude do disposto no art. 5º, §1º do Decreto n.º 7.724/2012, que regulamentou a Lei n.º 12.527/2011 (Lei de Acesso à Informação), e do disposto na Portaria Interministerial nº 233, de 25 de maio de 2012, as informações relativas ao Plano de Avaliação e Classificação de Cargos (PCAC) da Petrobras disponíveis ao público externo são apenas aquelas constantes nos editais de processos seletivo públicos, disponíveis nos endereços eletrônicos http://www.petrobras.com.br/pt/quem-somos/carreiras/concursos/ ou http://www.cesgranrio.org.br/concursos/principal.aspx Cumpre-nos informar que na hipótese de apresentação de recurso à autoridade hierárquica superior, ele deverá ser dirigido, no prazo de 10 (dez) dias a contar da ciência da presente decisão, à (i) Ouvidoria-Geral da Petrobras, localizada na Avenida República do Chile, nº 65, sala 1101, Centro, Rio de Janeiro, RJ, CEP 20.031-912, ou (ii) encaminhado através do preenchimento do formulário no seguinte endereço eletrônico: http://www.petrobras.com.br/acessoainformacao/servicos/formulario-de-solicitacao-de-recursos  Diante do exposto, considera-se este protocolo encerrado.   A Petrobras novamente agradece a confiança depositada, reafirmando o seu compromisso com a transparência.  Atenciosamente,  Serviço de Informação ao Cidadão (SIC) Ouvidoria-Geral da Petrobras  http://www.petrobras.com.br/fatos-e-dados/ ",1531,190,1,1,False,False,1,0,0,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
3,4,1,0,c234,c1,0.5440794,0.35263744,0.103283145,False," Prezado(a) Senhor(a),   Esclarecemos que o Serviço de Informação ao Cidadão (SIC) não trata de sugestão, elogio, solicitação, reclamação e denúncia relacionados a objetos postados no Brasil ou no exterior.   Assim, em cumprimento a Súmula nº 01/2015 da Comissão Mista de Reavaliação de Informações (CMRI), seguem os canais apropriados para atendimento de sua manifestação:   Fale Conosco: registro via internet de reclamações, críticas, sugestões, dúvidas e elogios - http://www2.correios.com.br/sistemas/falecomoscorreios.   Central de Atendimento dos Correios (CAC) Segunda à sexta-feira: das 08h às 20h. Sábado: 08h às 14h. Domingos e feriados: não há atendimento.  Informações sobre Produtos e Serviços: 3003 0100 (Capitais e regiões metropolitanas), 0800 725 7282 (demais localidades), 0800 725 0898 (exclusivo para portadores de deficiência auditiva), 3003 1383 (Informações Banco Postal). Reclamações, críticas, sugestões, dúvidas, elogios e denúncias: 0800 725 0100.   Caso a resposta não seja satisfatória, a Ouvidoria da Empresa poderá ser acionada, bastando acessar http://www.correios.com.br/ouvidoria e preencher o formulário correspondente. Ao registrar sua manifestação é preciso informar o protocolo fornecido pelo(a) atendente da Central de Atendimento dos Correios (CAC) ou pelo sistema da internet.   Acrescentamos que o cliente ao contratar serviços junto aos Correios, é com a pessoa jurídica da Empresa Brasileira de Correios e Telégrafos que se estabelece a relação comercial, e esta assume as responsabilidades pela execução de suas atividades operacionais. No caso de ação indevida de seus empregados, os Correios dispõem de mecanismos internos de apuração e aplicação de penalidades, após a devida apuração, quando necessário. Assim, não cabe a identificação dos empregados contratados para atuar nos processos operacionais dos Correios, uma vez que após a identificação de falhas operacionais, são adotadas providências pela própria Empresa, no sentido de manter a qualidade de seus processos operacionais dentro dos padrões estabelecidos.   Acrescentamos que as características dos serviços internacionais com código de rastreio iniciado com a letra ""R"", denominados ""OBJETO INTERNACIONAL PACKET ECONOMIC"" não preveem o rastreamento ponto a ponto, assim, após a liberação pela alfândega, o objeto é tratado manualmente e encaminhado, via terrestre, ao destinatário, sem os registros dos eventos intermediários, sendo o evento finalizador registrado somente quando o objeto estiver na unidade distribuidora que realizará a entrega. O que interfere na localização precisa destes objetos no fluxo postal.   Por fim, acrescentamos que no último trimestre de 2017, a carga internacional de pequenas encomendas apresentou aumento de volume acima de 85%. Em janeiro de 2018, a carga internacional aumentou novamente e foi 32% maior do que a recebida em dezembro/2017. Esses crescimentos, superiores às previsões dos Correios, causou saturação do fluxo postal, resultando em grande acúmulo de objetos para tratamento. Porém, desde dezembro, estamos trabalhando com operações especiais, visando à normalização da entrega da carga internacional no menor tempo possível.     Atenciosamente,   Serviço de Informação ao Cidadão Empresa Brasileira de Correios e Telégrafos   Conforme previsto no art. 21 do Decreto nº 7.724/2012, que regulamenta Lei nº 12.527/2011, eventuais recursos interpostos pelo cidadão no prazo de até 10 dias  contados da ciência da decisão  serão dirigidos ao Vice-Presidente de Operações. ",3533,494,3,2,True,True,2,1,0,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
9,4,1,1,c234,c234,0.20209937,0.45610562,0.34179503,True," Prezado Sr. Felipe  Cumprimentando-o cordialmente em atenção ao solicitado, temos a esclarecer que os processos de identificação e delimitação de terras indígenas no Brasil,poderão ser consultados no Núcleo de Documentação da Diretoria de Proteção Territorial/NUDOC-DPT, localizado no edifício sede da FUNAI, em Brasília, no endereço SBS Quadra 02 Lote 14 Ed. Cleto Meireles, 1º Subsolo, CEP: 70040-120. Cabe destacar que o atendimento se dará mediante à agendamento prévio por meio do telefone (61) 3247-7006, onde também poderão ser solicitadas cópias digitais de documentos.  Atenciosamente,  SIC/OUVI/FUNAI ",612,85,1,1,False,False,0,1,0,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
10,4,1,1,c234,c234,0.18742442,0.46728995,0.34528562,True," Prezada Senhora,   Em atenção à solicitação registrada sob o nº 08850.002694/2018-58, informamos que segue em anexo levantamento de processos relacionados a telecomunicação e a tecnologia. Infelizmente, não temos informações por tipo de mercado antes de 2010. Além disso, apenas com a nova lei o Cade passou a compilar os processos por tipo de mercado com mais dados acerca do processo. Por isso, da aba com processos entre 2010 e 2012, constam apenas os números dos processos.    Desse modo, o Cade sugere os solicitantes a utilizarem a pesquisa processual do site, em caso de necessidade de conhecimento mais pormenorizado sobre os processos. A busca pode ser feita, entre outros critérios, pelo nome do interessado, pelo número do processo, pelo tipo de processo ou ainda por meio de palavras-chave. Por se tratarem de processos públicos, o solicitante terá acesso a todos os documentos e andamentos do processo.   Conforme determinam a Lei 12.527/2011 (Lei de Acesso à Informação) e o Decreto 7.724/2012 que a regulamenta, poderá ser apresentado recurso no prazo de dez dias, contado da ciência dessa decisão, ao Chefe de Gabinete da Presidência do Cade, que deverá apreciá-lo no prazo de cinco dias, contado da sua apresentação. Lembramos que a ferramenta do recurso não deve ser utilizada para especificar ou reformular pedidos, nestas situações é necessário preencher novo formulário de solicitação.   Atenciosamente, SIC/Cade ",1435,222,1,1,False,False,0,1,0,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
12,4,0,2,c1,c5,0.0616173,0.23045012,0.70793265,False," Prezado (a) Senhor (a),  Em resposta a manifestação de V.S.ª, informamos que segue em anexo o fluxo de veículos por categoria das praças de pedágio do Autopista Planalto Sul localizadas em Santa Catarina, conforme solicitado.  Atenciosamente,  LUCIANO ESTEVE FERREIRA DE ASSIS - Gerente de Fiscalização e Controle Operacional de Rodovias - Substituto  Agência Nacional de Transportes Terrestres - ANTT SCE Sul:: Polo 8:: Projeto Orla Trecho 03:: Lote 10 Brasília  DF:: CEP: 70200-003 Fone: 166 www.antt.gov.br ",512,77,1,1,False,False,1,0,0,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
13,4,1,1,c234,c234,0.38285652,0.46192586,0.15521763,True," Senhor, Em atenção ao requerimento formulado, cumpre-nos informar que a demanda foi encaminhada a Secretaria da Receita Federal do Brasil, que se pronunciou conforme abaixo: ""Trata-se de solicitação amparada pela Lei nº 12.527, de 18 de novembro de 2011, também conhecida por Lei de Acesso à Informação (LAI). 2. O Sr. Kaue Bittencourt de Carvalho requer levantamento de dados do sistema Siscori contendo as importações da NCM 8456.11.11, com detalhamento de regimes especiais. 3. As informações demandadas encontram-se no Relatório anexado ao presente eprocesso. O interessado deve comparar esse documento com os dados públicos do Siscori para maiores detalhamentos."" Considerando o disposto no art. 19, inc. II, c/c o art. 21, caput, do Decreto n.º 7.724, de 2012, informa-se que poderá ser apresentado recurso, no prazo de 10 dias, contado da ciência da decisão. Atenciosamente, Serviço de Informação ao Cidadão Ministério da Economia ",939,143,1,1,False,False,0,1,0,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
17,4,0,0,c1,c1,0.7068009,0.22991325,0.063285924,True," Prezado Senhor IVANIR BRUNO MOURA,   Acusamos o recebimento do seu pedido, protocolado no Sistema Eletrônico do Serviço de Informação ao Cidadão (e-SIC), sob o NUP 00077001478201981. Destarte, por tratar-se de um pedido de acesso à informação genérico, não fora possível visualizar os requisitos necessários para o seu devido atendimento, tornando impossível o seu acesso imediato, nos termos dispostos no art. 13 do Decreto 7.724, de 16 de maio de 2012, que regulamenta a Lei 12.527, de 18 de novembro de 2011 (Lei de Acesso à Informação). Por oportuno, informamos que o registro de denúncia, reclamação, sugestão, solicitação de providências e elogios deverá ser realizado por meio do Sistema de Ouvidorias do Governo Federal (e-OUV), através do seguinte link:   https://sistema.ouvidorias.gov.br/publico/Manifestacao/RegistrarManifestacao.aspx?ReturnUrl=%2f Ante o exposto, encerraremos o presente pedido e solicitamos a apresentação de novo requerimento, contendo a especificação de forma clara e precisa da informação requerida, conforme dispõe o inciso III do art. 12 do Decreto Regulamentador da LAI.   Atenciosamente, Serviço de Informação ao Cidadão  SIC/Ouvidoria/MAPA ",1181,165,1,1,False,False,1,0,0,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
23,4,2,2,c5,c5,0.112111576,0.26532215,0.6225663,True," Prezada ,       A Gerência de Edições, no âmbito do projeto editorial Coleção Ensaios Brasileiros Contemporâneos, editou ano passado o volume Problemas de gênero, organizado pelas Professoras doutoras Carla Rodrigues, Luciana Borges e Tania Regina Oliveira Ramos.   O livro é uma antologia de ensaios sobre o tema que cobre historicamente o desenvolvimento dos estudos de gênero no país, desde o século XIX ao XXI, com grande diversidade de autoras.   Atenciosamente,        Filomena Chiaradia   Gerente de Edições    Funarte ",527,75,1,1,False,False,0,0,1,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
30,4,0,0,c1,c1,0.56436443,0.27714726,0.15848829,True," Prezado senhor,  Segue, em anexo, resposta a sua solicitação. A Valec agradece seu contato e coloca-se à disposição para demais esclarecimentos.  Atenciosamente,   SIC - VALEC Engenharia, Construções e Ferrovias S.A.  Importante: no caso de indeferimento de acesso a informação, poderá ser interposto recurso através do sistema no prazo de 10 (dez) dias, conforme disposto no parágrafo único do art. 15 da Lei nº 12.527/2011. ",427,64,2,1,True,False,2,0,0,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
43,4,2,2,c5,c5,0.037024632,0.17828098,0.78469443,True," Cara solicitante,  De acordo com a Assistência da Pró-reitoria de Gestão de Pessoas não existe previsão para a realização de aproveitamento para o cargo de Tecnólogo de RH, uma vez que o IFCE tem concurso vigente para este cargo. Atenciosamente,  SIC/IFCE ",257,41,1,1,False,False,0,0,1,neuralmind/bert-base-portuguese-cased,512,3e-05,2,16
